ignored_bits,iteration,run_time,solve_time,incorrect_bytes
0,0,2.1514532566070557,6.031990051269531e-05,0
0,1,2.141385555267334,5.8650970458984375e-05,0
0,2,2.1425390243530273,7.367134094238281e-05,0
0,3,2.16733455657959,5.8650970458984375e-05,0
0,4,2.1851532459259033,5.9604644775390625e-05,0
0,5,2.194331407546997,5.984306335449219e-05,0
0,6,2.1461758613586426,5.9604644775390625e-05,0
0,7,2.0558202266693115,5.8650970458984375e-05,0
0,8,2.1809451580047607,5.91278076171875e-05,0
0,9,2.144165515899658,6.008148193359375e-05,0
12,0,76.70339512825012,6.341934204101562e-05,0
12,1,76.93211269378662,6.532669067382812e-05,0
12,2,77.92741513252258,6.508827209472656e-05,0
12,3,77.26487326622009,6.818771362304688e-05,0
12,4,78.84970450401306,6.604194641113281e-05,0
12,5,78.57158350944519,6.365776062011719e-05,0
12,6,83.25431847572327,7.152557373046875e-05,0
12,7,86.42171168327332,6.413459777832031e-05,0
12,8,85.26631546020508,6.4849853515625e-05,0
12,9,86.68030071258545,6.365776062011719e-05,0
